Roll Call Attendance (137702),p1-1 Final Score,p1-2 Final Score,p2 Final Score,lab-sessions Final Score,hw1 Final Score,hw2 Final Score,hw3 Final Score,hw4 Final Score,hw5 Final Score,Presurvey Final Score,Assignments Final Score,q1 Final Score,q2 Final Score,q3 Final Score,MT1 Final Score,mt2 Final Score,final Final Score,ec3 Final Score,EC1 Final Score,ec2 Final Score,Final Score
100,85,30,41.67,0,95,95,0,50,0,20.59,100,73.33,53.85,53.13,53.75,60,42,0,0,100,53.42
100,85,60,62.5,100,77.5,65,81.82,70,60,18.38,100,53.33,23.08,50,46.25,40,30,0,0,100,54.6
100,85,60,62.5,100,80,100,72.73,90,60,18.38,100,80,53.85,34.38,42.5,32.5,36,0,0,100,56.75
100,85,90,100,100,95,35,90.91,50,93.33,28.68,100,86.67,84.62,71.88,86.25,60,86,100,0,100,89.4
100,95,100,100,100,100,87.5,86.36,80,100,16.91,93,46.67,38.46,81.25,66.25,92.5,82,100,0,100,92.32
93,100,100,50,100,70,37.5,54.55,80,80,30.15,88,73.33,38.46,65.63,48.75,32.5,54,0,60,100,61.75
88,85,20,0,0,95,80,45.45,30,53.33,15.44,77,53.33,61.54,0,76.25,62.5,0,0,0,100,45.09
77,85,60,50,100,95,35,68.18,50,86.67,12.5,96,60,53.85,59.38,46.25,40,48,0,0,100,58.34
96,10,10,33.33,0,0,0,0,40,80,12.5,48,26.67,53.85,34.38,22.5,20,16,0,0,100,26
48,85,40,70.83,100,95,50,90.91,0,100,15.44,35,60,69.23,65.63,56.25,57.5,72,50,0,100,72.48
35,95,50,25,75,0,85,68.18,60,73.33,0,88,60,76.92,71.88,40,60,68,0,0,100,60.58
88,90,70,100,75,85,0,100,0,100,24.26,54,46.67,61.54,84.38,65,52.5,82,100,0,100,79.8
54,85,95,37.5,100,85,80,81.82,40,80,34.56,78,73.33,84.62,75,83.75,77.5,72,0,0,100,78.25
78,100,70,41.67,100,95,55,90.91,50,80,13.97,92,46.67,30.77,56.25,56.25,67.5,64,0,0,100,67.74
92,70,50,100,100,90,65,86.36,30,53.33,27.21,84,60,69.23,87.5,51.25,60,58,100,0,100,73.59
84,100,70,100,0,100,40,68.18,90,93.33,27.94,92,60,46.15,56.25,43.75,60,48,100,0,100,71.89
92,85,60,79.17,100,100,85,81.82,90,73.33,16.91,100,60,76.92,78.13,72.5,70,60,16.67,0,100,77.16
100,100,60,25,100,55,60,50,60,73.33,15.44,100,73.33,61.54,71.88,67.5,57.5,60,0,0,100,64.14
100,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6.1
0,85,80,100,100,0,40,86.36,60,93.33,25,81,86.67,61.54,78.13,60,60,64,100,0,100,76.54
81,85,100,50,75,100,100,95.45,100,93.33,12.5,62,73.33,38.46,81.25,83.75,92.5,80,50,0,100,88.28
62,100,20,83.33,100,92.5,75,77.27,50,80,22.79,72,73.33,53.85,78.13,71.25,82.5,58,66.67,100,100,80.23
72,100,70,66.67,100,95,100,77.27,60,86.67,21.32,96,53.33,76.92,75,51.25,60,48,0,0,100,69.29
96,100,60,54.17,100,50,0,0,100,93.33,12.5,58,46.67,53.85,43.75,51.25,50,44,16.67,0,100,56.09
58,80,50,41.67,100,95,90,72.73,60,93.33,35.29,96,46.67,46.15,46.88,56.25,40,32,0,0,100,56.84
96,85,30,0,75,45,0,40.91,70,13.33,27.21,41,0,61.54,56.25,56.25,0,32,0,0,100,34.44
41,80,80,91.67,50,95,75,95.45,70,73.33,21.32,70,53.33,23.08,40.63,52.5,30,72,66.67,0,100,70.54
70,100,60,62.5,75,100,95,95.45,100,93.33,9.56,100,53.33,30.77,65.63,62.5,80,72,16.67,0,100,78.46
100,100,40,54.17,100,90,95,90.91,100,86.67,15.44,93,66.67,46.15,71.88,86.25,80,62,0,0,100,77.88
93,85,0,50,0,90,0,77.27,80,100,0,22,0,76.92,62.5,51.25,82.5,54,0,0,100,61.71
22,95,90,91.67,100,95,55,95.45,30,86.67,24.26,96,60,30.77,65.63,73.75,50,70,0,0,100,75.58
96,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,100,3.5
4,80,60,75,0,95,60,86.36,0,60,21.32,88,26.67,53.85,31.25,20,27.5,50,0,0,100,51.44
88,0,0,0,0,0,0,0,0,0,0,12,0,0,0,33.75,0,0,0,0,100,8.56
12,100,60,83.33,75,80,0,95.45,80,60,25.74,77,66.67,15.38,62.5,60,80,60,100,0,100,74.66
77,80,60,91.67,100,95,45,45.45,60,93.33,18.38,93,46.67,76.92,43.75,42.5,50,50,66.67,60,100,67.48
93,100,50,37.5,0,0,0,0,0,0,0,39,0,38.46,40.63,0,25,36,0,0,100,28.48
39,85,60,100,100,50,0,77.27,20,66.67,18.38,78,53.33,46.15,59.38,33.75,57.5,38,0,0,100,57.22
78,100,70,100,75,35,50,54.55,60,93.33,19.12,94,46.67,46.15,46.88,31.25,55,62,100,0,100,68.7
94,90,100,83.33,100,100,100,100,70,100,25.74,42,73.33,61.54,75,63.75,72.5,64,0,0,100,81.02
42,20,20,8.33,0,80,0,45.45,10,100,0,48,33.33,61.54,37.5,46.25,27.5,32,0,0,100,38.36
48,100,65,91.67,100,90,80,86.36,30,86.67,15.44,67,53.33,69.23,75,76.25,50,54,100,0,100,78.02
67,100,80,100,100,100,67.5,0,0,100,16.91,74,66.67,53.85,78.13,50,87.5,70,100,0,100,81.07
74,20,40,66.67,0,90,75,81.82,50,0,15.44,85,60,30.77,53.13,62.5,35,32,0,0,100,49.91
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.5
