Roll Call Attendance,Lab Session 1,Lab Session 2,Homework 1,Homework 2,Homework 3,Homework 4,Homework 5,Project 1a,Project 1b,Project 1 Final,Project 2a,Project 2b,Project 2c,Quiz 1,Quiz 2,Quiz 3,Midterm 1,Midterm 2,Final Exam,Final Score
100,0,100,95,95,0,50,0,85,30,41.67,73.33,53.85,53.13,73.33,53.85,53.13,53.75,60,42,53.42
100,100,100,77.5,65,81.82,70,60,85,60,62.5,53.33,23.08,50,53.33,23.08,50,46.25,40,30,54.6
100,100,100,80,100,72.73,90,60,85,60,62.5,80,53.85,34.38,80,53.85,34.38,42.5,32.5,36,56.75
100,100,100,95,35,90.91,50,93.33,85,90,100,86.67,84.62,71.88,86.67,84.62,71.88,86.25,60,86,89.4
100,100,93,100,87.5,86.36,80,100,95,100,100,46.67,38.46,81.25,46.67,38.46,81.25,66.25,92.5,82,92.32
93,100,88,70,37.5,54.55,80,80,100,100,50,73.33,38.46,65.63,73.33,38.46,65.63,48.75,32.5,54,61.75
88,0,77,95,80,45.45,30,53.33,85,20,0,53.33,61.54,0,53.33,61.54,0,76.25,62.5,0,45.09
77,100,96,95,35,68.18,50,86.67,85,60,50,60,53.85,59.38,60,53.85,59.38,46.25,40,48,58.34
96,0,48,0,0,0,40,80,10,10,33.33,26.67,53.85,34.38,26.67,53.85,34.38,22.5,20,16,26
48,100,35,95,50,90.91,0,100,85,40,70.83,60,69.23,65.63,60,69.23,65.63,56.25,57.5,72,72.48
35,75,88,0,85,68.18,60,73.33,95,50,25,60,76.92,71.88,60,76.92,71.88,40,60,68,60.58
88,75,54,85,0,100,0,100,90,70,100,46.67,61.54,84.38,46.67,61.54,84.38,65,52.5,82,79.8
54,100,78,85,80,81.82,40,80,85,95,37.5,73.33,84.62,75,73.33,84.62,75,83.75,77.5,72,78.25
78,100,92,95,55,90.91,50,80,100,70,41.67,46.67,30.77,56.25,46.67,30.77,56.25,56.25,67.5,64,67.74
92,100,84,90,65,86.36,30,53.33,70,50,100,60,69.23,87.5,60,69.23,87.5,51.25,60,58,73.59
84,0,92,100,40,68.18,90,93.33,100,70,100,60,46.15,56.25,60,46.15,56.25,43.75,60,48,71.89
92,100,100,100,85,81.82,90,73.33,85,60,79.17,60,76.92,78.13,60,76.92,78.13,72.5,70,60,77.16
100,100,100,55,60,50,60,73.33,100,60,25,73.33,61.54,71.88,73.33,61.54,71.88,67.5,57.5,60,64.14
100,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1
0,100,81,0,40,86.36,60,93.33,85,80,100,86.67,61.54,78.13,86.67,61.54,78.13,60,60,64,76.54
81,75,62,100,100,95.45,100,93.33,85,100,50,73.33,38.46,81.25,73.33,38.46,81.25,83.75,92.5,80,88.28
62,100,72,92.5,75,77.27,50,80,100,20,83.33,73.33,53.85,78.13,73.33,53.85,78.13,71.25,82.5,58,80.23
72,100,96,95,100,77.27,60,86.67,100,70,66.67,53.33,76.92,75,53.33,76.92,75,51.25,60,48,69.29
96,100,58,50,0,0,100,93.33,100,60,54.17,46.67,53.85,43.75,46.67,53.85,43.75,51.25,50,44,56.09
58,100,96,95,90,72.73,60,93.33,80,50,41.67,46.67,46.15,46.88,46.67,46.15,46.88,56.25,40,32,56.84
96,75,41,45,0,40.91,70,13.33,85,30,0,0,61.54,56.25,0,61.54,56.25,56.25,0,32,34.44
41,50,70,95,75,95.45,70,73.33,80,80,91.67,53.33,23.08,40.63,53.33,23.08,40.63,52.5,30,72,70.54
70,75,100,100,95,95.45,100,93.33,100,60,62.5,53.33,30.77,65.63,53.33,30.77,65.63,62.5,80,72,78.46
100,100,93,90,95,90.91,100,86.67,100,40,54.17,66.67,46.15,71.88,66.67,46.15,71.88,86.25,80,62,77.88
93,0,22,90,0,77.27,80,100,85,0,50,0,76.92,62.5,0,76.92,62.5,51.25,82.5,54,61.71
22,100,96,95,55,95.45,30,86.67,95,90,91.67,60,30.77,65.63,60,30.77,65.63,73.75,50,70,75.58
96,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
4,0,88,95,60,86.36,0,60,80,60,75,26.67,53.85,31.25,26.67,53.85,31.25,20,27.5,50,51.44
88,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.75,0,0,8.56
12,75,77,80,0,95.45,80,60,100,60,83.33,66.67,15.38,62.5,66.67,15.38,62.5,60,80,60,74.66
77,100,93,95,45,45.45,60,93.33,80,60,91.67,46.67,76.92,43.75,46.67,76.92,43.75,42.5,50,50,67.48
93,0,39,0,0,0,0,0,100,50,37.5,0,38.46,40.63,0,38.46,40.63,0,25,36,28.48
39,100,78,50,0,77.27,20,66.67,85,60,100,53.33,46.15,59.38,53.33,46.15,59.38,33.75,57.5,38,57.22
78,75,94,35,50,54.55,60,93.33,100,70,100,46.67,46.15,46.88,46.67,46.15,46.88,31.25,55,62,68.7
94,100,42,100,100,100,70,100,90,100,83.33,73.33,61.54,75,73.33,61.54,75,63.75,72.5,64,81.02
42,0,48,80,0,45.45,10,100,20,20,8.33,33.33,61.54,37.5,33.33,61.54,37.5,46.25,27.5,32,38.36
48,100,67,90,80,86.36,30,86.67,100,65,91.67,53.33,69.23,75,53.33,69.23,75,76.25,50,54,78.02
67,100,74,100,67.5,0,0,100,100,80,100,66.67,53.85,78.13,66.67,53.85,78.13,50,87.5,70,81.07
74,0,85,90,75,81.82,50,0,20,40,66.67,60,30.77,53.13,60,30.77,53.13,62.5,35,32,49.91
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,,
,,,,,,,,,,,,,,,,0,,,,
